administrative,administrative_duration,informational,informational_duration,product_related,product_related_duration,bounce_rates,exit_rates,page_values,month,operating_systems,browser,region,traffic_type,visitor_type,weekend,revenue
0.0,0.0,0,0.0,4.0,0.0,0.2,0.2,0.0,May,Android,Google Chrome,North America,Twitter,Returning_Visitor,False,False
0.0,0.0,0,0.0,26.0,876.0,0.0,0.026,0.0,Nov,Windows,Google Chrome,Western Europe,Google search,Returning_Visitor,True,False
2.0,99.4,0,0.0,19.0,368.0,0.0396,0.052,0.0,Sep,Windows,Google Chrome,Asia,Twitter,Returning_Visitor,False,False
0.0,0.0,0,0.0,20.0,1432.0,0.0248,0.028,1.8,Dec,Windows,Google Chrome,Western Europe,Instagram ads,Returning_Visitor,False,True
0.0,0.0,0,0.0,33.0,694.0,0.0141,0.032,0.0,May,Android,Google Chrome,North America,Instagram ads,Returning_Visitor,False,False
1.0,63.0,0,0.0,29.0,579.0,0.0194,0.023,0.0,Mar,MACOS,Safari,North America,Google search,Returning_Visitor,False,False
3.0,87.0,0,0.0,11.0,1400.0,0.0,0.022,0.0,Mar,Android,Google Chrome,Western Europe,Google search,New_Visitor,True,False
0.0,0.0,0,0.0,,1134.0,0.0033,0.018,0.0,Dec,MACOS,Safari,North America,Youtube channel,New_Visitor,False,False
0.0,0.0,0,0.0,3.0,17.0,0.04,0.12,0.0,June,Windows,Microsoft Edge,North America,Instagram ads,Returning_Visitor,False,False
4.0,15.8,0,0.0,11.0,340.0,0.0,0.016,0.0,Aug,Windows,Microsoft Edge,South America,Instagram Page,New_Visitor,False,False
0.0,0.0,0,0.0,1.0,0.0,0.2,0.2,0.0,Dec,Windows,Mozilla Firefox,Northern Africa,Affiliate marketing,Returning_Visitor,False,False
0.0,0.0,0,0.0,57.0,1955.0,0.0381,0.054,0.0,May,Windows,Google Chrome,Southern Africa,Instagram ads,Returning_Visitor,False,False
0.0,0.0,0,0.0,42.0,1426.0,0.0,0.054,0.0,May,MACOS,Safari,South America,Google search,Returning_Visitor,False,False
4.0,149.25,0,0.0,27.0,1091.0,0.0,0.01,89.7,Mar,Android,Google Chrome,South America,Instagram ads,Returning_Visitor,False,True
2.0,129.75,0,0.0,13.0,426.0,0.0125,0.038,0.0,Nov,Windows,Google Chrome,Asia,Facebook ads,Returning_Visitor,False,False
0.0,0.0,0,0.0,1.0,0.0,0.2,0.2,0.0,Nov,Windows,Google Chrome,Western Europe,Youtube ads,Returning_Visitor,False,False
3.0,350.2,0,0.0,34.0,1570.0,0.0,0.018,21.7,May,Android,Google Chrome,Western Europe,Google search,Returning_Visitor,True,True
0.0,0.0,0,0.0,7.0,449.0,0.0,0.033,0.0,Mar,MACOS,Safari,South America,Google search,Returning_Visitor,False,False
3.0,26.0,4,320.0,59.0,2448.0,0.0029,0.019,0.0,Dec,Windows,Google Chrome,Southern Africa,Google search,Returning_Visitor,False,False
4.0,,2,13.5,41.0,1396.0,0.0,0.016,0.0,May,Windows,Mozilla Firefox,Africa,Google search,Returning_Visitor,False,False
0.0,0.0,0,0.0,14.0,1368.0,0.0,0.038,0.0,May,MACOS,Samsung Internet,Western Europe,Google search,Returning_Visitor,False,False
0.0,,0,0.0,14.0,1017.0,0.0,0.002,0.0,Dec,MACOS,Safari,Western Europe,Facebook ads,Returning_Visitor,False,False
,85.96666667,0,0.0,,1073.0,0.0,0.014,0.0,Dec,Android,Google Chrome,North America,Instagram ads,Returning_Visitor,True,False
0.0,0.0,0,0.0,23.0,823.0,0.0048,0.014,0.0,Mar,Windows,Google Chrome,Eastern Europe,Instagram ads,Returning_Visitor,False,False
0.0,0.0,0,0.0,36.0,1038.0,0.0194,0.015,0.0,May,Windows,Mozilla Firefox,Western Europe,Google search,Returning_Visitor,False,False
2.0,30.0,0,0.0,2.0,34.0,0.0,0.013,0.0,Dec,ChromeOS,Sogou Explorer,Northern Africa,Tik Tok ads,Other,False,False
3.0,11.0,0,0.0,25.0,1418.0,0.0048,0.024,0.0,Dec,Windows,Opera,North America,Facebook ads,Returning_Visitor,False,False
2.0,1.0,0,0.0,11.0,321.0,0.0,0.011,0.0,May,Windows,Mozilla Firefox,North America,Bing search,Returning_Visitor,False,False
0.0,0.0,0,0.0,2.0,22.0,0.0,0.1,0.0,Dec,Android,Google Chrome,Western Europe,Google search,Returning_Visitor,True,False
1.0,10.0,5,1594.0,30.0,769.0,0.0138,0.022,0.0,Nov,MACOS,Safari,Western Europe,Google search,Returning_Visitor,False,False
4.0,76.255,0,0.0,11.0,113.0,0.0253,0.063,0.0,Sep,MACOS,Safari,North America,Instagram ads,Returning_Visitor,True,False
0.0,0.0,0,0.0,29.0,708.0,0.0071,0.035,0.0,May,Android,Google Chrome,Africa,Instagram ads,Returning_Visitor,False,False
2.0,,0,0.0,8.0,187.0,0.0119,0.046,0.0,May,Windows,Google Chrome,North America,Instagram ads,Returning_Visitor,False,False
4.0,64.0,0,0.0,14.0,453.0,0.0,0.012,0.0,Dec,Windows,Microsoft Edge,Western Europe,Bing search,New_Visitor,False,False
0.0,0.0,0,0.0,3.0,644.0,0.0667,0.089,0.0,May,Windows,Google Chrome,North America,Twitter,Returning_Visitor,False,False
4.0,30.0,0,0.0,19.0,1709.0,0.0,0.011,0.0,May,MACOS,Safari,North America,Google search,New_Visitor,False,False
,0.0,0,0.0,1.0,19.0,0.0,0.1,0.0,Mar,MACOS,Safari,Western Europe,Instagram ads,Returning_Visitor,False,False
6.0,68.5,2,66.0,37.0,820.0,0.02,0.043,0.0,May,Android,Google Chrome,North America,Bing search,Returning_Visitor,False,False
0.0,0.0,0,0.0,10.0,820.0,0.0,0.067,0.0,May,Windows,Google Chrome,Southern Africa,Bing search,Returning_Visitor,False,False
0.0,0.0,0,0.0,7.0,162.0,0.0587,0.121,0.0,May,Windows,Google Chrome,North America,Youtube ads,Returning_Visitor,False,False
0.0,0.0,0,0.0,8.0,309.0,0.0,0.024,0.0,Oct,Android,Google Chrome,Southern Africa,Direct Traffic,Returning_Visitor,False,False
0.0,0.0,0,0.0,45.0,782.0,0.0075,0.019,14.1,Dec,Windows,Google Chrome,Western Europe,Google search,Returning_Visitor,False,False
,0.0,0,0.0,3.0,88.0,0.0,0.017,0.0,Mar,Android,Google Chrome,Oceania,Google search,Returning_Visitor,True,False
0.0,0.0,0,0.0,,946.0,0.0221,0.078,0.0,June,Android,Google Chrome,Asia,Instagram ads,Returning_Visitor,False,False
