,administrative,administrative_duration,informational,informational_duration,product_related,product_related_duration,bounce_rates,page_values,month,operating_systems,browser,region,traffic_type,visitor_type,weekend,revenue
0,0.0,0.0,0,0.0,4.0,0.0,-1.6094379124341003,0.0,1900-05,Android,Google Chrome,North America,Twitter,Returning_Visitor,0,0
1,0.0,0.0,0,0.0,26.0,10.565940384719678,0.0,0.0,1900-11,Windows,Google Chrome,Western Europe,Google search,Returning_Visitor,1,0
2,2.0,4.599152113662528,0,0.0,19.0,8.680257884571175,-3.228926160721702,0.0,1900-09,Windows,Google Chrome,Asia,Twitter,Returning_Visitor,0,0
3,0.0,0.0,0,0.0,20.0,11.727892424825257,-3.6969116258112007,1.0393487774158674,1900-12,Windows,Google Chrome,Western Europe,Instagram ads,Returning_Visitor,0,1
4,0.0,0.0,0,0.0,33.0,10.039476400201925,-4.261580481598014,0.0,1900-05,Android,Google Chrome,North America,Instagram ads,Returning_Visitor,0,0
5,1.0,4.143134726391533,0,0.0,29.0,9.640313801992471,-3.9424822129128545,0.0,1900-03,MACOS,Safari,North America,Google search,Returning_Visitor,0,0
6,3.0,4.465908118654584,0,0.0,11.0,11.672900491080798,0.0,0.0,1900-03,Android,Google Chrome,Western Europe,Google search,New_Visitor,1,0
7,0.0,0.0,0,0.0,1.0,11.16746462934261,-5.713832810509703,0.0,1900-12,MACOS,Safari,North America,Youtube channel,New_Visitor,0,0
8,0.0,0.0,0,0.0,3.0,3.468985997923669,-3.2188758248682006,0.0,1900-06,Windows,Microsoft Edge,North America,Instagram ads,Returning_Visitor,0,0
9,4.0,2.760009940032921,0,0.0,11.0,8.51811752329802,0.0,0.0,1900-08,Windows,Microsoft Edge,South America,Instagram Page,New_Visitor,0,0
10,0.0,0.0,0,0.0,1.0,0.0,-1.6094379124341003,0.0,1900-12,Windows,Mozilla Firefox,Northern Africa,Affiliate marketing,Returning_Visitor,0,0
11,0.0,0.0,0,0.0,57.0,12.501210380370017,-3.2675409968494815,0.0,1900-05,Windows,Google Chrome,Southern Africa,Instagram ads,Returning_Visitor,0,0
12,0.0,0.0,0,0.0,42.0,11.71766406876528,0.0,0.0,1900-05,MACOS,Safari,South America,Google search,Returning_Visitor,0,0
13,4.0,5.0056227522727115,0,0.0,27.0,11.076161053142421,0.0,4.698048485573246,1900-03,Android,Google Chrome,South America,Instagram ads,Returning_Visitor,0,1
14,2.0,4.865609522045998,0,0.0,13.0,8.984378032426944,-4.382026634673881,0.0,1900-11,Windows,Google Chrome,Asia,Facebook ads,Returning_Visitor,0,0
15,0.0,0.0,0,0.0,1.0,0.0,-1.6094379124341003,0.0,1900-11,Windows,Google Chrome,Western Europe,Youtube ads,Returning_Visitor,0,0
16,3.0,5.8585044198517515,0,0.0,34.0,11.95335143734291,0.0,3.2129922589961457,1900-05,Android,Google Chrome,Western Europe,Google search,Returning_Visitor,1,1
17,0.0,0.0,0,0.0,7.0,9.095006755135008,0.0,0.0,1900-03,MACOS,Safari,South America,Google search,Returning_Visitor,0,0
18,3.0,3.258096538021482,4,5.768320995793772,59.0,13.07854596470942,-5.843044541989709,0.0,1900-12,Windows,Google Chrome,Southern Africa,Google search,Returning_Visitor,0,0
19,4.0,1.791759469228055,2,2.6026896854443837,41.0,11.66594920384915,0.0,0.0,1900-05,Windows,Mozilla Firefox,Africa,Google search,Returning_Visitor,0,0
