,administrative,administrative_duration,informational,informational_duration,product_related,product_related_duration,bounce_rates,exit_rates,page_values,month,operating_systems,browser,region,traffic_type,visitor_type,weekend,revenue
0,0,0.0,0,0.0,4,0.0,0.2,0.2,0.0,5,Android,Google Chrome,North America,Twitter,Returning_Visitor,0,0
1,0,0.0,0,0.0,26,876.0,0.0,0.026,0.0,11,Windows,Google Chrome,Western Europe,Google search,Returning_Visitor,1,0
2,2,99.4,0,0.0,19,368.0,0.0396,0.052,0.0,9,Windows,Google Chrome,Asia,Twitter,Returning_Visitor,0,0
3,0,0.0,0,0.0,20,1432.0,0.0248,0.028,1.8,12,Windows,Google Chrome,Western Europe,Instagram ads,Returning_Visitor,0,1
4,0,0.0,0,0.0,33,694.0,0.0141,0.032,0.0,5,Android,Google Chrome,North America,Instagram ads,Returning_Visitor,0,0
5,1,63.0,0,0.0,29,579.0,0.0194,0.023,0.0,3,MACOS,Safari,North America,Google search,Returning_Visitor,0,0
6,3,87.0,0,0.0,11,1400.0,0.0,0.022,0.0,3,Android,Google Chrome,Western Europe,Google search,New_Visitor,1,0
7,0,0.0,0,0.0,1,1134.0,0.0033,0.018,0.0,12,MACOS,Safari,North America,Youtube channel,New_Visitor,0,0
8,0,0.0,0,0.0,3,17.0,0.04,0.12,0.0,6,Windows,Microsoft Edge,North America,Instagram ads,Returning_Visitor,0,0
9,4,15.8,0,0.0,11,340.0,0.0,0.016,0.0,8,Windows,Microsoft Edge,South America,Instagram Page,New_Visitor,0,0
10,0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,12,Windows,Mozilla Firefox,Northern Africa,Affiliate marketing,Returning_Visitor,0,0
11,0,0.0,0,0.0,57,1955.0,0.0381,0.054,0.0,5,Windows,Google Chrome,Southern Africa,Instagram ads,Returning_Visitor,0,0
12,0,0.0,0,0.0,42,1426.0,0.0,0.054,0.0,5,MACOS,Safari,South America,Google search,Returning_Visitor,0,0
13,4,149.25,0,0.0,27,1091.0,0.0,0.01,89.7,3,Android,Google Chrome,South America,Instagram ads,Returning_Visitor,0,1
14,2,129.75,0,0.0,13,426.0,0.0125,0.038,0.0,11,Windows,Google Chrome,Asia,Facebook ads,Returning_Visitor,0,0
15,0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,11,Windows,Google Chrome,Western Europe,Youtube ads,Returning_Visitor,0,0
16,3,350.2,0,0.0,34,1570.0,0.0,0.018,21.7,5,Android,Google Chrome,Western Europe,Google search,Returning_Visitor,1,1
17,0,0.0,0,0.0,7,449.0,0.0,0.033,0.0,3,MACOS,Safari,South America,Google search,Returning_Visitor,0,0
18,3,26.0,4,320.0,59,2448.0,0.0029,0.019,0.0,12,Windows,Google Chrome,Southern Africa,Google search,Returning_Visitor,0,0
19,4,6.0,2,13.5,41,1396.0,0.0,0.016,0.0,5,Windows,Mozilla Firefox,Africa,Google search,Returning_Visitor,0,0
20,0,0.0,0,0.0,14,1368.0,0.0,0.038,0.0,5,MACOS,Samsung Internet,Western Europe,Google search,Returning_Visitor,0,0
21,0,6.0,0,0.0,14,1017.0,0.0,0.002,0.0,12,MACOS,Safari,Western Europe,Facebook ads,Returning_Visitor,0,0
22,0,85.96666667,0,0.0,1,1073.0,0.0,0.014,0.0,12,Android,Google Chrome,North America,Instagram ads,Returning_Visitor,1,0
23,0,0.0,0,0.0,23,823.0,0.0048,0.014,0.0,3,Windows,Google Chrome,Eastern Europe,Instagram ads,Returning_Visitor,0,0
24,0,0.0,0,0.0,36,1038.0,0.0194,0.015,0.0,5,Windows,Mozilla Firefox,Western Europe,Google search,Returning_Visitor,0,0
25,2,30.0,0,0.0,2,34.0,0.0,0.013,0.0,12,ChromeOS,Sogou Explorer,Northern Africa,Tik Tok ads,Other,0,0
26,3,11.0,0,0.0,25,1418.0,0.0048,0.024,0.0,12,Windows,Opera,North America,Facebook ads,Returning_Visitor,0,0
27,2,1.0,0,0.0,11,321.0,0.0,0.011,0.0,5,Windows,Mozilla Firefox,North America,Bing search,Returning_Visitor,0,0
28,0,0.0,0,0.0,2,22.0,0.0,0.1,0.0,12,Android,Google Chrome,Western Europe,Google search,Returning_Visitor,1,0
