,administrative,administrative_duration,informational,informational_duration,product_related,product_related_duration,exit_rates,page_values,month,operating_systems,browser,region,traffic_type,visitor_type,weekend,revenue
0,0.0,0.0,0,0.0,4.0,0.0,-1.6094379124341003,0.0,1900-05,Android,Google Chrome,North America,Twitter,Returning_Visitor,0,0
1,0.0,0.0,0,0.0,26.0,10.567129222600803,-3.649658740960655,0.0,1900-11,Windows,Google Chrome,Western Europe,Google search,Returning_Visitor,1,0
2,2.0,5.32747905471187,0,0.0,19.0,8.681096907023953,-2.9565115604007097,0.0,1900-09,Windows,Google Chrome,Asia,Twitter,Returning_Visitor,0,0
3,0.0,0.0,0,0.0,20.0,11.729319666788316,-3.575550768806933,1.0387310309484767,1900-12,Windows,Google Chrome,Western Europe,Instagram ads,Returning_Visitor,0,1
4,0.0,0.0,0,0.0,33.0,10.04056281412027,-3.4420193761824103,0.0,1900-05,Android,Google Chrome,North America,Instagram ads,Returning_Visitor,0,0
5,1.0,4.7380991148765865,0,0.0,29.0,9.641324971664975,-3.7722610630529876,0.0,1900-03,MACOS,Safari,North America,Google search,Returning_Visitor,0,0
6,3.0,5.15323990566593,0,0.0,11.0,11.674316077748205,-3.816712825623821,0.0,1900-03,Android,Google Chrome,Western Europe,Google search,New_Visitor,1,0
7,0.0,0.0,0,0.0,1.0,11.168774805614964,-4.017383521085972,0.0,1900-12,MACOS,Safari,North America,Youtube channel,New_Visitor,0,0
8,0.0,0.0,0,0.0,3.0,3.469141052514019,-2.120263536200091,0.0,1900-06,Windows,Microsoft Edge,North America,Instagram ads,Returning_Visitor,0,0
9,4.0,3.0804930868398706,0,0.0,11.0,8.518928739847885,-4.135166556742356,0.0,1900-08,Windows,Microsoft Edge,South America,Instagram Page,New_Visitor,0,0
10,0.0,0.0,0,0.0,1.0,0.0,-1.6094379124341003,0.0,1900-12,Windows,Mozilla Firefox,Northern Africa,Affiliate marketing,Returning_Visitor,0,0
11,0.0,0.0,0,0.0,57.0,12.50280531519603,-2.9187712324178627,0.0,1900-05,Windows,Google Chrome,Southern Africa,Instagram ads,Returning_Visitor,0,0
12,0.0,0.0,0,0.0,42.0,11.719089140128217,-2.9187712324178627,0.0,1900-05,MACOS,Safari,South America,Google search,Returning_Visitor,0,0
13,4.0,5.869159413410251,0,0.0,27.0,11.077452521198147,-4.605170185988091,4.6857117652797236,1900-03,Android,Google Chrome,South America,Instagram ads,Returning_Visitor,0,1
14,2.0,5.680856295151138,0,0.0,13.0,8.98527020962541,-3.270169119255751,0.0,1900-11,Windows,Google Chrome,Asia,Facebook ads,Returning_Visitor,0,0
15,0.0,0.0,0,0.0,1.0,0.0,-1.6094379124341003,0.0,1900-11,Windows,Google Chrome,Western Europe,Youtube ads,Returning_Visitor,0,0
16,3.0,7.054813090451686,0,0.0,34.0,11.954826842013931,-4.017383521085972,3.2071690789931795,1900-05,Android,Google Chrome,Western Europe,Google search,Returning_Visitor,1,1
17,0.0,0.0,0,0.0,7.0,9.095918588288633,-3.4112477175156566,0.0,1900-03,MACOS,Safari,South America,Google search,Returning_Visitor,0,0
18,3.0,3.6529867856009983,4,6.147191254411908,59.0,13.080270605036914,-3.9633162998156966,0.0,1900-12,Windows,Google Chrome,Southern Africa,Google search,Returning_Visitor,0,0
19,4.0,2.1598345578506155,2,2.7530080967040136,41.0,11.667363319806437,-4.135166556742356,0.0,1900-05,Windows,Mozilla Firefox,Africa,Google search,Returning_Visitor,0,0
20,0.0,0.0,0,0.0,14.0,11.61819902342326,-3.270169119255751,0.0,1900-05,MACOS,Samsung Internet,Western Europe,Google search,Returning_Visitor,0,0
21,0.0,2.1598345578506155,0,0.0,14.0,10.912634456267073,-6.214608098422191,0.0,1900-12,MACOS,Safari,Western Europe,Facebook ads,Returning_Visitor,0,0
22,0.0,5.137696341296562,0,0.0,1.0,11.038284946589641,-4.268697949366879,0.0,1900-12,Android,Google Chrome,North America,Instagram ads,Returning_Visitor,1,0
23,0.0,0.0,0,0.0,23.0,10.424530236122376,-4.268697949366879,0.0,1900-03,Windows,Google Chrome,Eastern Europe,Instagram ads,Returning_Visitor,0,0
24,0.0,0.0,0,0.0,36.0,10.960447999473894,-4.199705077879927,0.0,1900-05,Windows,Mozilla Firefox,Western Europe,Google search,Returning_Visitor,0,0
26,3.0,2.684486094483094,0,0.0,25.0,11.705389573008,-3.7297014486341915,0.0,1900-12,Windows,Opera,North America,Facebook ads,Returning_Visitor,0,0
27,2.0,0.7081081607942743,0,0.0,11.0,8.402094685189473,-4.509860006183766,0.0,1900-05,Windows,Mozilla Firefox,North America,Bing search,Returning_Visitor,0,0
28,0.0,0.0,0,0.0,2.0,3.8238893393294093,-2.3025850929940455,0.0,1900-12,Android,Google Chrome,Western Europe,Google search,Returning_Visitor,1,0
29,1.0,2.5834035020497206,5,7.995428766070303,30.0,10.270711225161389,-3.816712825623821,0.0,1900-11,MACOS,Safari,Western Europe,Google search,Returning_Visitor,0,0
30,4.0,4.9824949784011014,0,0.0,11.0,6.422252081085415,-2.7646205525906042,0.0,1900-09,MACOS,Safari,North America,Instagram ads,Returning_Visitor,1,0
31,0.0,0.0,0,0.0,29.0,10.08512622771957,-3.3524072174927233,0.0,1900-05,Android,Google Chrome,Africa,Instagram ads,Returning_Visitor,0,0
32,2.0,2.1598345578506155,0,0.0,8.0,7.344626257004301,-3.079113882493042,0.0,1900-05,Windows,Google Chrome,North America,Instagram ads,Returning_Visitor,0,0
33,4.0,4.758123172393573,0,0.0,14.0,9.114653177753995,-4.422848629194137,0.0,1900-12,Windows,Microsoft Edge,Western Europe,Bing search,New_Visitor,0,0
34,0.0,0.0,0,0.0,3.0,9.874699145528295,-2.419118909249997,0.0,1900-05,Windows,Google Chrome,North America,Twitter,Returning_Visitor,0,0
35,4.0,3.8228418254144034,0,0.0,19.0,12.165035857076345,-4.509860006183766,0.0,1900-05,MACOS,Safari,North America,Google search,New_Visitor,0,0
36,0.0,0.0,0,0.0,1.0,3.620315602501788,-2.3025850929940455,0.0,1900-03,MACOS,Safari,Western Europe,Instagram ads,Returning_Visitor,0,0
37,6.0,4.844796389721113,2,4.4018458368115505,37.0,10.416220230064082,-3.146555163288575,0.0,1900-05,Android,Google Chrome,North America,Bing search,Returning_Visitor,0,0
38,0.0,0.0,0,0.0,10.0,10.416220230064082,-2.703062659591171,0.0,1900-05,Windows,Google Chrome,Southern Africa,Bing search,Returning_Visitor,0,0
39,0.0,0.0,0,0.0,7.0,7.075728822292602,-2.111964733385396,0.0,1900-05,Windows,Google Chrome,North America,Youtube ads,Returning_Visitor,0,0
40,0.0,0.0,0,0.0,8.0,8.325148449986964,-3.7297014486341915,0.0,1900-10,Android,Google Chrome,Southern Africa,Direct Traffic,Returning_Visitor,0,0
41,0.0,0.0,0,0.0,45.0,10.308586835252834,-3.9633162998156966,2.7786497967458996,1900-12,Windows,Google Chrome,Western Europe,Google search,Returning_Visitor,0,0
42,0.0,0.0,0,0.0,3.0,5.986300945194026,-4.074541934925921,0.0,1900-03,Android,Google Chrome,Oceania,Google search,Returning_Visitor,1,0
43,0.0,0.0,0,0.0,1.0,10.744302238284947,-2.551046452292545,0.0,1900-06,Android,Google Chrome,Asia,Instagram ads,Returning_Visitor,0,0
44,0.0,0.0,0,0.0,21.0,10.707327636157649,-5.115995809754082,0.0,1900-10,Windows,Mozilla Firefox,South America,Bing search,Returning_Visitor,0,0
45,0.0,0.0,2,3.7409811351062516,25.0,12.110588890486149,-5.521460917862246,0.0,1900-05,Windows,Google Chrome,Western Europe,Facebook ads,Returning_Visitor,0,0
46,0.0,0.0,0,0.0,23.0,9.437471700984945,-3.540459448995663,4.135989455273596,1900-05,Windows,Google Chrome,South America,Twitter,Returning_Visitor,0,1
47,7.0,2.1598345578506155,0,0.0,16.0,9.686080758992736,-6.907755278982137,0.0,1900-07,MACOS,Safari,North America,Google search,New_Visitor,1,0
48,0.0,0.0,0,0.0,9.0,4.6253512418692315,-3.101092789211817,0.0,1900-03,Windows,Google Chrome,Asia,Instagram ads,Returning_Visitor,0,0
49,0.0,0.0,0,0.0,12.0,8.774361512059219,-3.912023005428146,0.0,1900-03,Windows,Mozilla Firefox,Western Europe,Facebook ads,Returning_Visitor,1,0
50,6.0,4.78372651397658,4,3.262730882298126,210.0,9.67867706287735,-3.3242363405260273,0.0,1900-09,Windows,Google Chrome,South America,Youtube ads,Returning_Visitor,0,0
51,0.0,0.0,0,0.0,1.0,8.026069556542158,-3.6888794541139363,0.0,1900-11,Android,Yandex,Southern Africa,Google search,Returning_Visitor,1,0
52,1.0,4.589100981359127,0,0.0,24.0,11.470834118326032,-4.135166556742356,3.321657933922339,1900-05,MACOS,Safari,Asia,Bing search,Returning_Visitor,1,1
53,1.0,1.4470024815305333,0,0.0,20.0,8.647278405620568,-4.135166556742356,0.0,1900-10,MACOS,Safari,North America,Google search,New_Visitor,1,0
54,4.0,6.920077650151353,0,0.0,62.0,11.884880293840625,-4.710530701645918,0.0,1900-10,Android,Google Chrome,North America,Instagram ads,Returning_Visitor,1,0
55,1.0,0.0,0,0.0,30.0,9.67867706287735,-5.298317366548036,3.8391251230708487,1900-05,Windows,Google Chrome,North America,Instagram Page,New_Visitor,0,1
56,12.0,5.440156555649228,1,4.205808396796314,50.0,13.030939512139156,-4.3428059215206005,2.7924342402522173,1900-05,Windows,Google Chrome,Western Europe,Instagram ads,Returning_Visitor,0,0
57,0.0,0.0,0,0.0,14.0,8.106391539756507,-5.809142990314028,0.0,1900-07,MACOS,Safari,North America,Google search,Returning_Visitor,0,0
58,0.0,0.0,0,0.0,16.0,6.700473139162471,-2.0635681925235456,0.0,1900-11,Android,Google Chrome,North America,Instagram ads,Returning_Visitor,0,0
59,0.0,0.0,0,0.0,2.0,0.0,-1.6094379124341003,0.0,1900-11,Android,Google Chrome,Asia,Facebook ads,Returning_Visitor,0,0
60,0.0,0.0,0,0.0,10.0,7.774682708391731,-4.199705077879927,0.0,1900-12,Android,Google Chrome,North America,Google search,New_Visitor,1,0
61,5.0,4.841057633630736,1,3.1160639186205423,8.0,7.472255791416807,-5.298317366548036,0.0,1900-10,Windows,Google Chrome,North America,Tik Tok ads,Returning_Visitor,0,0
62,5.0,4.686724453609322,0,0.0,40.0,12.439946686756047,-3.7297014486341915,0.0,1900-05,Windows,Google Chrome,Western Europe,Bing search,New_Visitor,0,0
63,11.0,6.647934206365589,2,2.461175789811075,25.0,10.374266242526543,-4.605170185988091,2.605797558950634,1900-08,Windows,Google Chrome,Western Europe,Bing search,New_Visitor,0,0
64,0.0,2.1598345578506155,0,0.0,5.0,6.309395784750876,-3.0576076772720784,0.0,1900-11,Windows,Google Chrome,Eastern Europe,Google search,New_Visitor,0,0
65,9.0,6.100920421295962,1,4.166147616050306,70.0,13.19194696338972,-3.649658740960655,0.0,1900-11,Windows,Google Chrome,Western Europe,Google search,Returning_Visitor,0,0
66,0.0,0.0,0,0.0,10.0,6.422252081085415,-3.473768074496991,0.0,1900-11,Android,Google Chrome,Southern Africa,Google search,Returning_Visitor,1,1
67,2.0,3.2889368602819307,0,0.0,11.0,12.569392992910322,-3.506557897319982,2.0220251224631474,1900-03,Windows,Opera,North America,Youtube channel,Returning_Visitor,0,0
68,0.0,0.0,0,0.0,5.0,6.437874981584099,-3.863232841258714,0.0,1900-12,Windows,Mozilla Firefox,North America,Twitter,Returning_Visitor,0,0
69,6.0,5.044403754955851,0,0.0,16.0,8.999994949430231,-4.268697949366879,3.2437136869904872,1900-03,MACOS,Google Chrome,South America,Google search,New_Visitor,0,1
70,1.0,1.8940318045269045,3,5.009773508202932,38.0,11.315101952297525,-3.123565645063876,0.0,1900-12,Windows,Google Chrome,South America,Facebook ads,Returning_Visitor,0,0
71,7.0,5.967601407733032,0,0.0,31.0,8.869263654906158,-4.710530701645918,0.0,1900-05,Windows,Google Chrome,North America,Bing search,Returning_Visitor,0,0
72,6.0,5.040355549205874,0,0.0,3.0,2.9052589191359077,-2.8134107167600364,0.0,1900-12,MACOS,Safari,Western Europe,Youtube channel,New_Visitor,0,0
73,3.0,4.566426641223579,0,0.0,48.0,13.696276291836265,-3.863232841258714,0.0,1900-05,Android,Google Chrome,North America,Youtube ads,Returning_Visitor,0,0
74,7.0,9.406241753021124,0,0.0,113.0,12.85034415118892,-5.115995809754082,3.5671034411525713,1900-05,Windows,Microsoft Edge,North America,Google search,Returning_Visitor,0,1
75,2.0,4.633350915978618,1,2.1269201187628304,57.0,12.899369002232024,-5.298317366548036,0.0,1900-03,Windows,Google Chrome,Western Europe,Google search,Returning_Visitor,0,0
76,3.0,3.0945709926284373,2,4.794406368518692,1.0,11.98294688428781,-4.3428059215206005,3.211805778635253,1900-11,MACOS,Google Chrome,Asia,Instagram ads,Returning_Visitor,1,1
