,administrative,administrative_duration,informational,informational_duration,product_related,product_related_duration,bounce_rates,exit_rates,page_values,month,operating_systems,browser,region,traffic_type,visitor_type,weekend,revenue
0,0.0,0.0,0,0.0,4.0,0.0,0.2,0.2,0.0,1900-05,Android,Google Chrome,North America,Twitter,Returning_Visitor,0,0
1,0.0,0.0,0,0.0,26.0,876.0,0.0,0.026,0.0,1900-11,Windows,Google Chrome,Western Europe,Google search,Returning_Visitor,1,0
2,2.0,99.4,0,0.0,19.0,368.0,0.0396,0.052,0.0,1900-09,Windows,Google Chrome,Asia,Twitter,Returning_Visitor,0,0
3,0.0,0.0,0,0.0,20.0,1432.0,0.0248,0.028,1.8,1900-12,Windows,Google Chrome,Western Europe,Instagram ads,Returning_Visitor,0,1
4,0.0,0.0,0,0.0,33.0,694.0,0.0141,0.032,0.0,1900-05,Android,Google Chrome,North America,Instagram ads,Returning_Visitor,0,0
5,1.0,63.0,0,0.0,29.0,579.0,0.0194,0.023,0.0,1900-03,MACOS,Safari,North America,Google search,Returning_Visitor,0,0
6,3.0,87.0,0,0.0,11.0,1400.0,0.0,0.022,0.0,1900-03,Android,Google Chrome,Western Europe,Google search,New_Visitor,1,0
7,0.0,0.0,0,0.0,1.0,1134.0,0.0033,0.018,0.0,1900-12,MACOS,Safari,North America,Youtube channel,New_Visitor,0,0
8,0.0,0.0,0,0.0,3.0,17.0,0.04,0.12,0.0,1900-06,Windows,Microsoft Edge,North America,Instagram ads,Returning_Visitor,0,0
9,4.0,15.8,0,0.0,11.0,340.0,0.0,0.016,0.0,1900-08,Windows,Microsoft Edge,South America,Instagram Page,New_Visitor,0,0
10,0.0,0.0,0,0.0,1.0,0.0,0.2,0.2,0.0,1900-12,Windows,Mozilla Firefox,Northern Africa,Affiliate marketing,Returning_Visitor,0,0
11,0.0,0.0,0,0.0,57.0,1955.0,0.0381,0.054,0.0,1900-05,Windows,Google Chrome,Southern Africa,Instagram ads,Returning_Visitor,0,0
12,0.0,0.0,0,0.0,42.0,1426.0,0.0,0.054,0.0,1900-05,MACOS,Safari,South America,Google search,Returning_Visitor,0,0
13,4.0,149.25,0,0.0,27.0,1091.0,0.0,0.01,89.7,1900-03,Android,Google Chrome,South America,Instagram ads,Returning_Visitor,0,1
14,2.0,129.75,0,0.0,13.0,426.0,0.0125,0.038,0.0,1900-11,Windows,Google Chrome,Asia,Facebook ads,Returning_Visitor,0,0
15,0.0,0.0,0,0.0,1.0,0.0,0.2,0.2,0.0,1900-11,Windows,Google Chrome,Western Europe,Youtube ads,Returning_Visitor,0,0
16,3.0,350.2,0,0.0,34.0,1570.0,0.0,0.018,21.7,1900-05,Android,Google Chrome,Western Europe,Google search,Returning_Visitor,1,1
17,0.0,0.0,0,0.0,7.0,449.0,0.0,0.033,0.0,1900-03,MACOS,Safari,South America,Google search,Returning_Visitor,0,0
18,3.0,26.0,4,320.0,59.0,2448.0,0.0029,0.019,0.0,1900-12,Windows,Google Chrome,Southern Africa,Google search,Returning_Visitor,0,0
19,4.0,6.6,2,13.5,41.0,1396.0,0.0,0.016,0.0,1900-05,Windows,Mozilla Firefox,Africa,Google search,Returning_Visitor,0,0
20,0.0,0.0,0,0.0,14.0,1368.0,0.0,0.038,0.0,1900-05,MACOS,Samsung Internet,Western Europe,Google search,Returning_Visitor,0,0
21,0.0,6.6,0,0.0,14.0,1017.0,0.0,0.002,0.0,1900-12,MACOS,Safari,Western Europe,Facebook ads,Returning_Visitor,0,0
